ID,c2,scada,kms,df,im,icm,ls,searchstring,results,Performed 6-10-2021
44,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",25,
45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",12,
46,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",10,
47,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",8,
48,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",7,
49,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",6,
50,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",6,
51,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",6,
52,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",6,
53,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" ""Library Science""",5,
54,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",4,
55,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",4,
56,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",3,
57,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",3,
58,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",3,
59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",3,
60,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",2,
61,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",2,
62,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",2,
63,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",1,
64,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",1,
65,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",1,
66,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",1,
67,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",1,
68,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",1,
69,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",1,
70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
71,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
72,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
73,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
74,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" ""Library Science""",0,
